court_abbreviation,location_name,address,phone,email,hours
almd,Alabama Middle District,"One Church Street, Montgomery, AL 36104",334-954-3600,efile_help@almd.uscourts.gov,"8:00AM - 5:00PM, Monday - Friday"
alnd,Northern District of Alabama,"1729 5th Ave North, Birmingham, AL 35203",(205) 278-1700,,"8:30 am - 4:30 pm, Monday - Friday"
alsd,Southern District of Alabama,"155 St. Joseph Street, Mobile, AL 36602",(251) 690-2371,efile_information@alsd.uscourts.gov,"8:00 a.m. to 5:00 p.m. (Central), M-F"
akd,United States District Court For the District of Alaska - Fairbanks Office,"101 12th Avenue, Room 332, Fairbanks, AK 99701",866-243-3813 toll free or 907-451-5791,,9:00 a.m. to 4:30 p.m. M-F
akd,United States District Court For the District of Alaska - Juneau Office,"Hurff Ackerman Saunders Federal Building and Robert Boochever U.S. Courthouse 709 W. 9th Street, Room 979, Juneau AK 99801 - MAILING ADDRESS: P.O. Box 020349, Juneau, AK 99802",866-243-3812 toll free or 907-586-7458,,9:00 AM to Noon and 1:00 PM to 4:30 PM M-F
akd,United States District Court For the District of Alaska,"James M. Fitzgerald U.S. Courthouse and Federal Building 222 W. 7th Avenue, Room 229, Box/Suite #4 Anchorage, AK 99513",866-243-3814 toll free or 907-677-6100,,9:00 a.m. - 4:30 p.m. M-F
akd,United States District Court For the District of Alaska - Nome Office,"U.S. District Court101 12th Avenue, Room 332 Fairbanks, AK 99701",907-451-5791,,"As of October 1, 2021 the Nome Court office is closed. Please direct any inquires my mail or phone to the U.S. District Court in Fairbanks."
akd,United States District Court For the District of Alaska - Ketchikan Office,"U.S. District Court PO Box 020349 Juneau, AK 99802",866-243-3812 toll free or 907-586-7458,,"As of October 1, 2021 the Ketchikan Court office is closed. Please direct any inquiries by mail or phone to the U.S. District Court in Juneau."
azd,District of Arizona,"Sandra Day O'Connor U.S. Courthouse401 W. Washington Street, Ste 130, SPC 1Phoenix, AZ 85003-2118",602-322-7200,ecfhelpphx@azd.uscourts.gov,Courthouse Hours: 8:00 AM - 5:30 PM Clerk's Office Hours: 8:30 AM - 5:00 PM
azd,District of Arizona - Tucson,"Evo A. DeConcini U.S. Courthouse405 W. Congress Street, Suite 1500Tucson, AZ 85701-5010",520-205-4200,ecfhelptuc@azd.uscourts.gov,Courthouse Hours: 8:00 AM - 5:30 PMClerk's Office Hours: 8:30 AM - 5:00 PM
