court_abbreviation,county_name,state
almd,Autauga,Alabama
almd,Barbour,Alabama
almd,Bullock,Alabama
almd,Butler,Alabama
almd,Chambers,Alabama
almd,Chilton,Alabama
almd,Coffee,Alabama
almd,Coosa,Alabama
almd,Covington,Alabama
almd,Crenshaw,Alabama
almd,Dale,Alabama
almd,Elmore,Alabama
almd,Geneva,Alabama
almd,Henry,Alabama
almd,Houston,Alabama
almd,Lee,Alabama
almd,Lowndes,Alabama
almd,Macon,Alabama
almd,Montgomery,Alabama
almd,Pike,Alabama
almd,Randolph,Alabama
almd,Russell,Alabama
almd,Tallapoosa,Alabama
alnd,Bibb,Alabama
alnd,Blount,Alabama
alnd,Calhoun,Alabama
alnd,Cherokee,Alabama
alnd,Clay,Alabama
alnd,Cleburne,Alabama
alnd,Colbert,Alabama
alnd,Cullman,Alabama
alnd,DeKalb,Alabama
alnd,Etowah,Alabama
alnd,Fayette,Alabama
alnd,Franklin,Alabama
alnd,Greene,Alabama
alnd,Jackson,Alabama
alnd,Jefferson,Alabama
alnd,Lamar,Alabama
alnd,Lauderdale,Alabama
alnd,Lawrence,Alabama
alnd,Limestone,Alabama
alnd,Madison,Alabama
alnd,Marion,Alabama
alnd,Marshall,Alabama
alnd,Morgan,Alabama
alnd,Pickens,Alabama
alnd,Shelby,Alabama
alnd,St. Clair,Alabama
alnd,Sumter,Alabama
alnd,Talladega,Alabama
alnd,Tuscaloosa,Alabama
alnd,Walker,Alabama
alnd,Winston,Alabama
alsd,Baldwin,Alabama
alsd,Choctaw,Alabama
alsd,Clarke,Alabama
alsd,Conecuh,Alabama
alsd,Dallas,Alabama
alsd,Escambia,Alabama
alsd,Hale,Alabama
alsd,Marengo,Alabama
alsd,Mobile,Alabama
alsd,Monroe,Alabama
alsd,Perry,Alabama
alsd,Washington,Alabama
alsd,Wilcox,Alabama
akd,Aleutians East,Alaska
akd,Anchorage,Alaska
akd,Bristol Bay,Alaska
akd,Denali,Alaska
akd,Fairbanks North Star,Alaska
akd,Haines,Alaska
akd,Juneau,Alaska
akd,Kenai Peninsula,Alaska
akd,Ketchikan Gateway,Alaska
akd,Kodiak Island,Alaska
akd,Lake and Peninsula,Alaska
akd,Matanuska Susitna,Alaska
akd,Nome,Alaska
akd,North Slope,Alaska
akd,Northwest Arctic,Alaska
akd,Sitka,Alaska
akd,Southeast Fairbanks,Alaska
azd,Apache,Arizona
azd,Cochise,Arizona
azd,Coconino,Arizona
azd,Gila,Arizona
azd,Graham,Arizona
azd,Greenlee,Arizona
azd,La Paz,Arizona
azd,Maricopa,Arizona
azd,Mohave,Arizona
azd,Navajo,Arizona
azd,Pima,Arizona
azd,Pinal,Arizona
azd,Santa Cruz,Arizona
azd,Yavapai,Arizona
azd,Yuma,Arizona
arwd,Ashley,Arkansas
arwd,Baxter,Arkansas
arwd,Benton,Arkansas
arwd,Boone,Arkansas
arwd,Bradley,Arkansas
arwd,Calhoun,Arkansas
arwd,Carroll,Arkansas
arwd,Clark,Arkansas
arwd,Columbia,Arkansas
arwd,Crawford,Arkansas
arwd,Franklin,Arkansas
arwd,Garland,Arkansas
arwd,Hempstead,Arkansas
arwd,Hot Spring,Arkansas
arwd,Howard,Arkansas
arwd,Johnson,Arkansas
arwd,Lafayette,Arkansas
arwd,Little River,Arkansas
arwd,Logan,Arkansas
arwd,Madison,Arkansas
arwd,Marion,Arkansas
arwd,Miller,Arkansas
arwd,Montgomery,Arkansas
arwd,Nevada,Arkansas
arwd,Newton,Arkansas
arwd,Ouachita,Arkansas
arwd,Pike,Arkansas
arwd,Polk,Arkansas
arwd,Scott,Arkansas
arwd,Searcy,Arkansas
arwd,Sebastian,Arkansas
arwd,Sevier,Arkansas
arwd,Union,Arkansas
arwd,Washington,Arkansas
cacd,Los Angeles,California
cacd,Orange,California
cacd,Riverside,California
cacd,San Bernardino,California
cacd,San Luis Obispo,California
cacd,Santa Barbara,California
cacd,Ventura,California
caed,Alpine,California
caed,Amador,California
caed,Butte,California
caed,Calaveras,California
caed,Colusa,California
caed,El Dorado,California
caed,Fresno,California
caed,Glenn,California
caed,Inyo,California
caed,Kern,California
caed,Kings,California
caed,Lassen,California
caed,Madera,California
caed,Mariposa,California
caed,Merced,California
caed,Modoc,California
caed,Mono,California
caed,Nevada,California
caed,Placer,California
caed,Plumas,California
caed,Sacramento,California
caed,San Joaquin,California
caed,Shasta,California
caed,Sierra,California
caed,Siskiyou,California
caed,Solano,California
caed,Stanislaus,California
caed,Sutter,California
caed,Tehama,California
caed,Trinity,California
caed,Tulare,California
caed,Tuolumne,California
caed,Yolo,California
caed,Yuba,California
cand,Alameda,California
cand,Contra Costa,California
cand,Del Norte,California
cand,Humboldt,California
cand,Lake,California
cand,Marin,California
cand,Mendocino,California
cand,Monterey,California
cand,Napa,California
cand,San Benito,California
cand,San Francisco,California
cand,San Mateo,California
cand,Santa Clara,California
cand,Santa Cruz,California
cand,Sonoma,California
casd,Imperial,California
casd,San Diego,California
cod,Adams,Colorado
cod,Alamosa,Colorado
cod,Arapahoe,Colorado
cod,Archuleta,Colorado
cod,Baca,Colorado
cod,Bent,Colorado
cod,Boulder,Colorado
cod,Broomfield,Colorado
cod,Chaffee,Colorado
cod,Cheyenne,Colorado
cod,Clear Creek,Colorado
cod,Conejos,Colorado
cod,Costilla,Colorado
cod,Crowley,Colorado
cod,Custer,Colorado
cod,Delta,Colorado
cod,Denver,Colorado
cod,Dolores,Colorado
cod,Douglas,Colorado
cod,Eagle,Colorado
cod,El Paso,Colorado
cod,Elbert,Colorado
cod,Fremont,Colorado
cod,Garfield,Colorado
cod,Gilpin,Colorado
cod,Grand,Colorado
cod,Gunnison,Colorado
cod,Hinsdale,Colorado
cod,Huerfano,Colorado
cod,Jackson,Colorado
cod,Jefferson,Colorado
cod,Kiowa,Colorado
cod,Kit Carson,Colorado
cod,La Plata,Colorado
cod,Lake,Colorado
cod,Larimer,Colorado
cod,Las Animas,Colorado
cod,Lincoln,Colorado
cod,Logan,Colorado
cod,Mesa,Colorado
cod,Mineral,Colorado
cod,Moffat,Colorado
cod,Montezuma,Colorado
cod,Montrose,Colorado
cod,Morgan,Colorado
cod,Otero,Colorado
cod,Ouray,Colorado
cod,Park,Colorado
